Month,Longitude,Latitude,Location,Crimetype,Town,POPULATION
2015-10,-5.930334,54.599189,Castle Street,SHOP,NA,NA
2016-09,-6.042839,54.51141,Market Square,CDAR,NA,NA
2016-02,-5.94904,54.60604,Klondyke Street,VISO,NA,NA
2017-08,-6.080314,54.524284,Rathvarna Walk,ASBO,NA,NA
2016-03,-5.932453,54.597689,College Street Mews,ASBO,NA,NA
2017-01,-5.930334,54.599189,Castle Street,ASBO,NA,NA
2017-12,-5.658997,54.642576,Bloomfield Walk,VISO,NA,NA
2016-03,-6.222675,54.702,Greenmount Road,Possession of weapons,NA,NA
2016-10,-5.944349,54.585483,Dunluce Avenue,ASBO,NA,NA
2016-09,-6.256791,54.345341,Chinauley Park,CDAR,NA,NA
2017-10,-6.181826,54.993796,Glenravel Road,VISO,NA,NA
2017-05,-7.386323,54.719159,Deerpark,Other theft,NA,NA
2015-02,-6.427638,54.432107,Seagoe Gardens,ASBO,NA,NA
2016-10,-5.960648,54.677495,Queens Park,ASBO,NA,NA
2015-06,-5.668027,54.661009,Main Street,ASBO,NA,NA
2016-10,-7.323409,54.997393,Chamberlain Street,VISO,NA,NA
2015-11,-5.839433,54.26248,Main Street,OTCR,NA,NA
2016-07,-6.453565,54.431535,Garvaghy Gardens,PUBO,NA,NA
2016-05,-5.920338,54.607976,Pilot Street,BURG,NA,NA
2017-01,-6.398975,54.199037,Clogharevan Park,BURG,NA,NA
2017-09,-6.249984,54.348441,Old Forge,CDAR,NA,NA
2015-11,-5.944307,54.602581,Percy Street,VECR,NA,NA
2017-10,-6.189289,54.505777,Wellington Parks,ASBO,NA,NA
2016-05,-5.933133,54.595867,Howard Street,SHOP,NA,NA
2016-01,-7.331948,55.01007,Glenside Road,ASBO,NA,NA
2015-06,-6.563642,54.410856,Annahugh Park,VISO,NA,NA
2015-09,-6.217845,54.714157,Riverside,VISO,NA,NA
2017-10,-6.339395,54.458383,George Street,BURG,NA,NA
2016-01,-6.370253,54.449055,Legahory Centre,VISO,NA,NA
2015-06,-7.257974,55.020861,Tirkeeran Park,VECR,NA,NA
2017-03,-5.938485,54.618871,Antrim Road,ASBO,NA,NA
2016-05,-5.815586,54.715488,Ellis Street,ASBO,NA,NA
2017-02,-5.929328,54.598579,Castle Lane,ASBO,NA,NA
2015-06,-6.946733,55.044768,Benbradagh Avenue,VISO,NA,NA
2016-10,-5.956765,54.614023,Flax Street,Other theft,NA,NA
2016-12,-5.881772,54.592634,Luxor Gardens,CDAR,NA,NA
2016-04,-5.703792,54.587248,Ardmillan Crescent,ASBO,NA,NA
2016-07,-5.902186,54.556717,Colby Park,ASBO,NA,NA
2016-11,-5.883288,54.602778,Oakdene Parade,VISO,NA,NA
2017-05,-6.698788,55.062985,Kinnyglass Road,VISO,NA,NA
2015-01,-6.32963,54.744903,The Gables,BURG,NA,NA
2015-11,-5.849398,54.259764,Dromara Road,Other theft,NA,NA
2015-10,-5.953784,54.616974,Oldpark Road,CDAR,NA,NA
2017-02,-6.673281,54.844476,Main Street,ASBO,NA,NA
2017-07,-6.669697,54.695425,Northland Road,ASBO,NA,NA
2017-03,-6.329755,54.20285,Belfast Road,ASBO,NA,NA
